"z","shelter","eggs","with_eggs","ground","ceiling","heatmat","move","room","tank#","tank_size","temperature","researcher","time","start_time","x","y","Date","ID","SVL","Weight","Sex"
"2","0","0",NA,"0","0","0","0","R002","3","s","24.92","BS","m","08:30","2","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.92","BS","m","08:45","2","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.89","BS","m","09:00","2","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.74","BS","m","09:15","1","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.58","BS","m","09:30","1","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.57","BS","m","09:45","2","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.54","BS","m","10:00","1","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","1","R002","3","s","24.45","BS","m","10:15","1","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.56","BS","m","10:30","1","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.42","BS","m","10:45","1","1","25/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0",NA,"R002","3","s","25.24","BS","m","08:00","2","2","26/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","25.09","BS","m","08:15","1","2","26/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","25.04","BS","m","08:30","1","2","26/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.92","BS","m","08:45","2","2","26/11/2021",1,13.309,139,"F"
"1","0","0",NA,"0","0","0","0","R002","3","s","24.89","BS","m","09:00","1","2","26/11/2021",1,13.309,139,"F"
